id|username|gender|age|height|occupation|zodiac|personality|lovelang|h1|h2|h3|h4|h5|h6|p_age|p_height|p_occupation|p_personality|p_lovelang
f001|sokchetra|Female|19|165|Student|Cancer|Introvert|Physical Touch|Running|Coding|Reading|Cooking|Traveling|Singing|22-24|175 - 180||Ambivert|Physical Touch  
f002|Ti Tuy|Female|20|160|Student|Sagittarius|Introvert|Physical Touch|Camping|Gaming|Movies/Documentaries|Food photography|Traveling|Photography|22-24|170 - 175||Extrovert|Acts of Service  
f003|Bob|Female|19|167|Worker|Taurus|Ambivert|Acts of Service|Gym & weightlifting|Video editing|Movies/Documentaries|Food photography|Traveling|Photography|22-24|180 - 185|Worker|Ambivert|Acts of Service  
f004|Mai|Female|19|155|Worker|Taurus|Introvert|Acts of Service|Cycling|Gaming|Reading|Food photography|Traveling|Photography|22-24|175 - 180|Worker|Ambivert|Quality Time  
f005|Cheks|Female|20|157|Student|Scorpio|Ambivert|Acts of Service|Camping|Gaming|Reading|Cooking|Traveling|Dancing|22-24|175 - 180|Worker|Ambivert|Acts of Service  
f006|LS|Female|20|155|Worker|Libra|Introvert|Quality Time|Gym & weightlifting|Gaming|Movies/Documentaries|Cooking|Traveling|Dancing|24-26|170 - 175|Worker|Extrovert|Quality Time  
f007|Just me|Female|19|155|Student|Gemini|Ambivert|Physical Touch|Camping|Gaming|Reading|Cooking|Traveling|Singing|18-20|150 - 155|Student|Ambivert|Physical Touch  
f008|Shae.|Female|19|155|Student|Aries|Ambivert|Physical Touch|Camping|Video editing|Reading|Coffee brewing|Traveling|Writing (stories, poems, blogs)|22-24|170 - 175|Worker|Extrovert|Quality Time  
f009|fried chicken lover|Female|19|165|Student|Taurus|Ambivert|Physical Touch|Running|Video editing|Reading|Food photography|Volunteering|Photography|20-22|185 - 190|Student|Ambivert|Physical Touch  
f010|Hilo|Female|20|165|Student|Aquarius|Ambivert|Acts of Service|Cycling|Video editing|Movies/Documentaries|Food photography|Traveling|Photography|24-26|175 - 180|Student|Ambivert|Acts of Service  
f011|Katherine|Female|20|155|Student|Scorpio|Introvert|Acts of Service|Swimming|Video editing|Reading|Food photography|Traveling|Singing|18-20|175 - 180|Student|Ambivert|Acts of Service  
f012|Bii|Female|20|165|Worker|Sagittarius|Ambivert|Physical Touch|Swimming|Video editing|Movies/Documentaries|Cooking|Traveling|Singing|18-20|165 - 170|Worker|Ambivert|Physical Touch  
f013|Nit|Female|19|160|Student|Pisces|Ambivert|Quality Time|Cycling|Gaming|Reading|Cooking|Traveling|Painting|20-22|180 - 185|Student|Ambivert|Acts of Service  
f014|July|Female|21|153|Student|Cancer|Ambivert|Acts of Service|Running|Video editing|Reading|Cooking|Traveling|Singing|24-26|170 - 175|Worker|Ambivert|Acts of Service  
f015|Zuraa|Female|21|155|Student|Aries|Introvert|Quality Time|Camping|Gaming|Movies/Documentaries|Food photography|Traveling|Singing|20-22|150 - 155|Student|Introvert|Acts of Service  
f016|DuDu|Female|20|156|Student|Sagittarius|Introvert|Quality Time|Cycling|Video editing|Movies/Documentaries|Cooking|Traveling|Photography|20-22|175 - 180|Student|Extrovert|Words of Affirmation  
f017|kaka|Female|24|155|Worker|Scorpio|Introvert|Acts of Service|Cycling|UI/UX design|Reading|Coffee brewing|Traveling|Photography|26-28|170 - 175|Worker|Ambivert|Acts of Service  
f018|AhPich|Female|20|160|Student|Aries|Extrovert|Words of Affirmation|Cycling|UI/UX design|Reading|Cooking|Vlogging|Dancing|22-24|165 - 170|Student|Extrovert|Words of Affirmation  
f019|Pich|Female|22|167|Worker|Aries|Introvert|Words of Affirmation|Gym & weightlifting|Gaming|Reading|Cooking|Traveling|Dancing|24-26|185 - 190|Worker|Extrovert|Words of Affirmation  
f020|Potato|Female|19|156|Student|Scorpio|Ambivert|Gifting|Running|UI/UX design|Reading|Food photography|Traveling|Painting|24-26|170 - 175|Worker|Ambivert|Quality Time  
f021|Skyyanis|Female|20|158|Student|Sagittarius|Ambivert|Words of Affirmation|Cycling|UI/UX design|Reading|Food photography|Volunteering|Writing (stories, poems, blogs)|24-26|175 - 180|Worker|Introvert|Words of Affirmation  
f022|Ah meng|Female|20|160|Worker|Scorpio|Ambivert|Words of Affirmation|Cycling|Video editing|Reading|Cooking|Traveling|Dancing|22-24|165 - 170|Worker|Ambivert|Words of Affirmation  
f023|SOKHIT|Female|19|160|Student|Capricorn|Ambivert|Gifting|Camping|Gaming|Movies/Documentaries|Food photography|Volunteering|Playing a musical instrument|20-22|175 - 180|Student|Extrovert|Gifting  
f024|KL|Female|21|150|Worker|Pisces|Ambivert|Acts of Service|Cycling|Coding|Sudoku & puzzles|Food photography|Traveling|Playing a musical instrument|24-26|170 - 175|Worker|Ambivert|Words of Affirmation  
f025|Namo|Female|24|163|Worker|Capricorn|Introvert|Acts of Service|Running|Video editing|Movies/Documentaries|Cooking|Traveling|Dancing|26-28|170 - 175|Worker|Ambivert|Physical Touch  
f026|Bewwy|Female|18|168|Student|Pisces|Ambivert|Quality Time|Camping|UI/UX design|Movies/Documentaries|Cooking|Traveling|Painting|18-20|170 - 175|Student|Introvert|Quality Time  
