id|username|gender|age|height|occupation|zodiac|personality|lovelang|h1|h2|h3|h4|h5|h6|p_age|p_height|p_occupation|p_personality|p_lovelang
m001|vathanak|Male|19|170|Student|Libra|Extrovert|Gifting|Running|Coding|Movies/Documentaries|Cooking|Traveling|Photography|20-22|170 - 175|Student|Extrovert|Acts of Service  
m002|Kikawo|Male|24|170|Worker|Capricorn|Ambivert|Physical Touch|Fishing|Coding|Chess|Coffee brewing|Traveling|Dancing|18-20|160 - 165|Worker|Ambivert|Physical Touch  
m003|Mariee|Male|18|168|Student|Taurus|Ambivert|Physical Touch|Running|Gaming|Movies/Documentaries|Food photography|Volunteering|Photography|18-20|165 - 170|Student|Ambivert|Physical Touch  
m004|Meng|Male|22|173|Worker|Virgo|Introvert|Physical Touch|Running|Video editing|Movies/Documentaries|Cooking|Traveling|Photography|20-22|170 - 175|Worker|Ambivert|Physical Touch  
m005|Nam Jung|Male|23|180|Student|Virgo|Ambivert|Physical Touch|Gym & weightlifting|Video editing|Reading|Food photography|Vlogging|Photography|22-24|175 - 180|Student|Ambivert|Physical Touch  
m006|Ngeat Ngork|Male|21|175|Student|Pisces|Ambivert|Physical Touch|Gym & weightlifting|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Singing|18-20|165 - 170|Student|Extrovert|Quality Time  
m007|Pheak|Male|19|168|Student|Libra|Ambivert|Words of Affirmation|Gym & weightlifting|Video editing|Reading|Food photography|Volunteering|Painting|20-22|170 - 175|Worker|Ambivert|Gifting  
m008|I'm cook|Male|20|165|Student|Cancer|Ambivert|Words of Affirmation|Gym & weightlifting|Gaming|Movies/Documentaries|Coffee brewing|Volunteering|Writing|20-22|160 - 165|Student|Ambivert|Words of Affirmation  
m009|Puthi|Male|18|165|Student|Taurus|Ambivert|Quality Time|Cycling|Coding|Reading|Coffee brewing|Traveling|Dancing|18-20|165 - 170|Student|Ambivert|Physical Touch
m010|Louis Partridge|Male|21|183|Worker|Gemini|Introvert|Physical Touch|Swimming|Gaming|Movies/Documentaries|Coffee brewing|Traveling|Playing a musical instrument|20-22|165 - 170|Student|Introvert|Physical Touch  
m011|Meng Pheng|Male|20|175|Student|Libra|Ambivert|Physical Touch|Running|UI/UX design|Movies/Documentaries|Coffee brewing|Traveling|Painting|18-20|160 - 165|Student|Ambivert|Physical Touch  
m012|Nha zin 2|Male|19|170|Student|Leo|Ambivert|Physical Touch|Gym & weightlifting|Gaming|Movies/Documentaries|Coffee brewing|Volunteering|Singing|18-20|165 - 170|Student|Ambivert|Physical Touch  
m013|Lampus Oman|Male|32|175|Worker|Virgo|Introvert|Quality Time|Gym & weightlifting|Robotics|Movies/Documentaries|Coffee brewing|Traveling|Painting|20-22|160 - 165|Worker|Extrovert|Acts of Service  
m014|Fake|Male|21|173|Student|Pisces|Ambivert|Physical Touch|Camping|Gaming|Sudoku & puzzles|Cooking|Traveling|Photography|20-22|160 - 165|Student|Ambivert|Physical Touch  
m015|Panha|Male|20|168|Student|Pisces|Introvert|Acts of Service|Cycling|Coding|Movies/Documentaries|Food photography|Volunteering|Singing|18-20|160 - 165|Student|Ambivert|Acts of Service  
m016|tsn|Male|19|165|Student|Aries|Ambivert|Quality Time|Gym & weightlifting|Coding|Movies/Documentaries|Coffee brewing|Volunteering|Dancing|18-20|160 - 165|Student|Ambivert|Quality Time  
m017|BCZIN|Male|19|165|Student|Scorpio|Introvert|Quality Time|Running|Coding|Chess|Cooking|Volunteering|Graphic design|18-20|160 - 165|Student|Extrovert|Physical Touch  
m018|Da Body|Male|19|180|Worker|Cancer|Introvert|Physical Touch|Running|Gaming|Reading|Cooking|Traveling|Singing|18-20|180 - 185|Worker|Introvert|Physical Touch  
m019|Core|Male|23|179|Student|Libra|Ambivert|Acts of Service|Running|Gaming|Sudoku & puzzles|Cooking|Traveling|Playing a musical instrument|22-24|160 - 165|Student|Extrovert|Words of Affirmation  
m020|Axel|Male|20|169|Student|Cancer|Introvert|Quality Time|Gym & weightlifting|Gaming|Movies/Documentaries|Cooking|Traveling|Painting|18-20|155 - 160|Student|Ambivert|Physical Touch  
